question,answer,difficulty,topic,data_science_question
How many times do you think it will take for the American people to wake up and realize that they have been had?,,,,0
What is time series and how it is different from other time series?,Answer here,beginner,time series,1
What would you like to see more of on this blog?,,,,0
What is the area under the PR curve? Is it a useful metric?,"The Precision-Recall AUC is just like the ROC AUC, in that it summarizes the curve with a range of threshold values as a single score.

A high area under the curve represents both high recall and high precision, where high precision relates to a low false positive rate, and high recall relates to a low false negative rate.",intermediate,classification,1
How do we interpret the results of linear models in high-dimensional settings?,Answer here,intermediate,classification,1
How do we interpret L2 regularization terms in linear models?,Answer here,intermediate,regularization,1
What is the difference between CNN and RNN architectures for text classification?,Answer here,advanced,text classification,1
You have a series with a variable “y” and a set of features. How you would predict “y” at t+1?,Answer here,intermediate,time series,1
Do we want to have a constant learning rate or we better change it throughout training?,"Generally, it is recommended to start learning rate with relatively high value and then gradually decrease learning rate so the model does not overshoot the minima and at the same time we don't want to start with very low learning rate as the model will take too long to converge. There are many available techniques to do decay the learning rate. For example, in PyTorch you can use
a function called **StepLR** which decays the learning rate of each parameter by value **gamma**-which we have to pass through argument- after n number of epoch which you can also set through function argument named **epoch_size**.",intermediate,neural networks,1
How can we use CNN for object detection?,Answer here,advanced,neural networks,1
What is Data Science and what are its different approaches to solving problems?,Answer here,intermediate,recommender systems,1
What is time series and how it is different from regression?,Answer here,beginner,time series,1
What do you think of the title of this post?,,,,0
What is Text Classification?,Answer here,advanced,text classification,1
How can we leverage the knowledge graph to help us in machine learning?,Answer here,beginner,unsupervised learning,1
What is the meaning of this word?,,,,0
What is the difference between correlation and regression analysis?,Answer here,beginner,supervised learning,1
What is the best way to solve this type of problem in Python?,Answer here,beginner,classification,1
What is regression and how it can be applied in machine learning?,Answer here,beginner,supervised learning,1
How can we deal with categorical features in gradient boosting models?,Answer here,intermediate,feature selection,1
What is the best way to prepare for a job interview?,,,,0
What is text classification and what are the applications of text classification?,Answer here,advanced,text classification,1
How to validate your models?,"One of the most common approaches is splitting data into train, validation and test parts.
Models are trained on train data, hyperparameters (for example early stopping) are selected based on the validation data, the final measurement is done on test dataset.
Another approach is cross-validation: split dataset into K folds and each time train models on training folds and measure the performance on the validation folds.
Also you could combine these approaches: make a test/holdout dataset and do cross-validation on the rest of the data. The final quality is measured on test dataset.",beginner,supervised learning,1
